entidad,n_entidad,nivel,insc_t,hom_t,muj_t,egre_hom,egre_muj,egre_tot,docente_h,docente_m,tot_doc,porc_aban_hom,porc_aban_muj,porc_aban_tot,porc_doc_hom,porc_doc_muj,porc_ins_hom,porc_insc_muj
1,aguascalientes,inicial,24641,12925,11716,0,0,0,8,1039,1047,1.0,1.0,1.0,0.007640878701050621,0.9923591212989494,0.5245322835923867,0.4754677164076133
1,aguascalientes,media superior,356395,170332,186063,47618,55189,102807,17344,18382,35726,0.7204400817227532,0.70338541246782,0.711536357131834,0.48547276493310193,0.514527235066898,0.47793038622876305,0.522069613771237
1,aguascalientes,preescolar,313751,158070,155681,0,0,0,91,12573,12664,1.0,1.0,1.0,0.007185723310170563,0.9928142766898295,0.5038071591803691,0.49619284081963083
1,aguascalientes,primaria,958697,487085,471612,0,0,0,6051,23448,29499,1.0,1.0,1.0,0.20512559747788062,0.7948744025221194,0.508069807248797,0.4919301927512029
1,aguascalientes,secundaria,446286,224897,221389,64575,67510,132085,9102,12482,21584,0.7128685576063709,0.6950616335951652,0.7040350806433542,0.42170126019273535,0.5782987398072647,0.5039302151535114,0.49606978484648856
2,baja california,inicial,48634,25231,23403,0,0,0,4,1078,1082,1.0,1.0,1.0,0.0036968576709796672,0.9963031423290203,0.5187934366903812,0.4812065633096188
2,baja california,media superior,952824,462080,490744,112877,133168,246045,37280,42418,79698,0.7557197887811634,0.7286405946888805,0.7417728772574999,0.467765815955231,0.532234184044769,0.4849583973535511,0.5150416026464488
2,baja california,preescolar,579562,288433,291129,0,0,0,278,28188,28466,1.0,1.0,1.0,0.009766036675331975,0.9902339633246681,0.4976741056176906,0.5023258943823093
2,baja california,primaria,2285122,1160018,1125104,0,0,0,22337,63912,86249,1.0,1.0,1.0,0.25898271284304747,0.7410172871569526,0.5076394170639467,0.4923605829360533
2,baja california,secundaria,1113573,561130,552443,170682,172669,343351,19692,31140,50832,0.6958244969971308,0.6874446775504441,0.6916672728236047,0.3873937677053824,0.6126062322946175,0.5039005076452105,0.4960994923547895
3,baja california sur,inicial,13478,6967,6511,0,0,0,2,372,374,1.0,1.0,1.0,0.0053475935828877,0.9946524064171123,0.5169164564475441,0.48308354355245586
3,baja california sur,media superior,221074,108625,112449,27176,31236,58412,10020,8817,18837,0.7498181818181818,0.7222207400688312,0.7357807792865737,0.5319318362796623,0.46806816372033766,0.49135131223029394,0.5086486877697061
